ShipmentID,OriginPort,DestinationPort,ShipmentDate,DeliveryDate,ShipmentMode,Status,Cost,Revenue,FuelConsumption,Emissions,CustomerID,CustomerName,Industry,Region,TotalShipments,TotalSpend,AverageDeliveryTime,OnTimeDeliveryRate,SatisfactionScore,RouteID,DwellTimeAtTerminal,ScenarioID,ScenarioDescription,EstimatedCostSavings,EstimatedEfficiencyImprovement,ImpactOnDeliveryTime,ImpactOnCustomerSatisfaction,FuelType,CarbonOffsetInitiatives,SustainabilityScore,PredictedRevenue,PredictedCost,PredictedEmissions,PredictedDeliveryTime,PredictedCustomerSatisfaction
11,Singapore,Antwerp,19-01-2025,02-02-2025,Air,On-time,14360,16722,411,45,176,Global Importers,Automotive,Europe,27,229605,23,94,4.4,R29,13,S47,Increase container utilization,4356,12,0,0.05,MDO,Wind Energy,77,15866,12182,32,23,4.4
12,New York,Busan,04-01-2025,05-03-2025,Sea,Delayed,11590,15974,416,48,100,OPQ Enterprises,Pharmaceuticals,Asia,19,310879,19,88,4.9,R21,11,S41,Increase container utilization,3942,7,0,0.12,MDO,Solar Investment,86,12797,9833,47,16,4.8
13,New York,Dubai,26-01-2025,01-02-2025,Air,On-time,9872,12460,429,32,104,ABC Logistics,Textiles,Asia,17,320827,16,96,4.2,R17,11,S49,Increase container utilization,6467,11,1,0.1,LNG,Solar Investment,70,16974,14436,46,23,4.5
14,Los Angeles,Los Angeles,07-02-2025,30-01-2025,Air,On-time,11793,10545,487,41,179,LMN Supply,Manufacturing,Asia,24,205580,21,86,4.5,R49,19,S11,Increase container utilization,5868,12,0,0.13,HFO,Solar Investment,87,15973,10139,31,22,4.3
15,Dubai,New York,11-02-2025,08-01-2025,Land,Delayed,9192,15728,498,34,114,KLM Exporters,Pharmaceuticals,North America,29,314902,16,91,4,R24,10,S38,Cost reduction per shipment,5554,11,1,0.17,LNG,Tree Plantation,81,13871,8207,41,24,4.3
16,Hamburg,Busan,01-02-2025,30-01-2025,Air,On-time,12425,16312,422,31,127,XYZ Traders,Textiles,North America,13,205400,23,88,4.8,R36,14,S41,Cost reduction per shipment,4952,6,2,0.18,LNG,Wind Energy,72,11513,10233,46,15,4.2
17,Rotterdam,Dubai,08-02-2025,25-01-2025,Air,Delayed,12745,12728,528,36,194,KLM Exporters,Pharmaceuticals,North America,11,296032,23,92,4.6,R31,15,S2,Cost reduction per shipment,5971,12,1,0.11,LNG,None,89,12617,9850,35,19,4.1
18,New York,Mumbai,14-02-2025,08-02-2025,Land,On-time,9464,13734,478,42,122,KLM Exporters,Electronics,North America,15,327319,17,92,4.6,R47,13,S4,Cost reduction per shipment,6192,10,1,0.11,HFO,None,83,15517,9687,46,16,4.2
19,Dubai,Shanghai,15-02-2025,31-01-2025,Land,Delayed,8390,16726,431,44,116,HIJ Shipping,Manufacturing,Middle East,12,306960,22,91,4.1,R34,13,S28,Optimize fuel usage,4282,14,1,0.07,MDO,Solar Investment,85,17071,10203,31,24,4.1
20,Rotterdam,Hamburg,05-02-2025,10-01-2025,Sea,On-time,13615,12562,408,32,197,OPQ Enterprises,Pharmaceuticals,North America,16,239015,18,94,4.2,R2,14,S33,Cost reduction per shipment,4745,7,2,0.06,MDO,Solar Investment,87,15612,14436,37,19,4.9
21,Hamburg,Hamburg,09-02-2025,07-03-2025,Land,On-time,12476,17481,414,49,112,LMN Supply,Electronics,Europe,19,271713,17,93,4.1,R42,14,S11,Optimize fuel usage,3409,8,2,0.15,LNG,Tree Plantation,79,14757,14676,43,22,4.9
22,Shanghai,Antwerp,06-02-2025,14-01-2025,Sea,Delayed,11377,12079,555,34,113,XYZ Traders,Manufacturing,Middle East,15,346046,15,88,4.3,R3,18,S3,Reduce average delay,5357,11,2,0.06,LNG,None,84,13032,10208,35,23,4.6
23,Antwerp,Singapore,02-02-2025,24-02-2025,Land,Delayed,12837,16430,551,37,110,LMN Supply,Retail,Middle East,25,345109,19,91,4.6,R30,17,S40,Cost reduction per shipment,6879,7,1,0.16,HFO,Tree Plantation,79,14210,13604,38,23,4.8
24,Dubai,Dubai,05-02-2025,11-01-2025,Land,On-time,14106,12641,587,30,127,OPQ Enterprises,Electronics,North America,11,347239,18,94,4.6,R8,18,S5,Reduce average delay,6777,5,1,0.13,HFO,Solar Investment,70,11704,13622,30,15,4.2
25,Busan,Mumbai,03-01-2025,06-03-2025,Sea,On-time,12915,13114,562,37,141,LMN Supply,Automotive,Asia,26,288754,15,94,4.6,R7,12,S21,Cost reduction per shipment,5115,10,1,0.08,MDO,Wind Energy,88,12673,8850,34,21,4.9
26,Shanghai,Busan,09-01-2025,18-02-2025,Land,Delayed,8672,11926,426,47,195,Global Importers,Manufacturing,North America,22,243148,24,99,4.5,R12,12,S22,Reduce average delay,5161,7,1,0.13,LNG,Wind Energy,71,17952,10203,36,22,4.5
27,Antwerp,Shanghai,08-01-2025,16-01-2025,Sea,On-time,10560,10616,508,49,198,OPQ Enterprises,Pharmaceuticals,Asia,10,322790,22,96,4.3,R19,10,S37,Improve on-time performance,5267,14,1,0.08,HFO,Wind Energy,82,14699,14286,38,24,4.1
28,Los Angeles,Dubai,02-02-2025,21-02-2025,Land,Delayed,13867,17168,475,45,160,LMN Supply,Textiles,North America,15,286078,22,85,4.2,R26,19,S11,Reduce average delay,5267,10,1,0.12,HFO,Solar Investment,85,13091,11690,43,17,4.1
29,Mumbai,Mumbai,28-02-2025,08-01-2025,Air,On-time,9211,13644,547,47,163,HIJ Shipping,Pharmaceuticals,North America,14,256879,22,88,4.1,R28,15,S44,Optimize fuel usage,4496,14,1,0.17,LNG,Tree Plantation,77,15953,11355,38,20,4.3
30,Singapore,Los Angeles,06-01-2025,04-02-2025,Land,Delayed,8929,16413,464,49,130,ABC Logistics,Automotive,Asia,22,319894,17,86,4.8,R15,13,S22,Increase container utilization,5777,7,0,0.12,LNG,Wind Energy,72,13848,10609,33,17,4
31,Busan,New York,10-02-2025,26-01-2025,Sea,On-time,9539,11203,576,41,180,LMN Supply,Automotive,Asia,27,265839,20,93,4.6,R14,17,S41,Reduce average delay,5796,10,2,0.07,LNG,None,88,15314,14178,49,23,4.3
32,Los Angeles,Hamburg,08-02-2025,02-02-2025,Land,Delayed,8912,11759,508,42,172,Global Importers,Pharmaceuticals,Asia,21,229756,21,89,4.2,R48,11,S13,Increase container utilization,5990,8,0,0.16,LNG,None,83,15663,8223,44,17,4.1
33,Hamburg,Busan,04-01-2025,08-03-2025,Sea,Delayed,8643,12565,528,42,109,XYZ Traders,Textiles,Asia,16,343755,23,87,4.2,R14,11,S3,Improve on-time performance,3385,8,2,0.08,LNG,Solar Investment,80,12777,14811,33,16,4.2
34,Los Angeles,Hamburg,13-01-2025,07-02-2025,Sea,On-time,12522,13174,409,39,107,HIJ Shipping,Manufacturing,Europe,24,342097,19,88,4.9,R3,16,S13,Improve on-time performance,6369,14,1,0.16,LNG,None,81,15353,14536,32,23,4.3
35,Mumbai,Busan,18-02-2025,09-02-2025,Air,Delayed,8501,13081,446,36,120,XYZ Traders,Electronics,Asia,12,349787,23,90,4.7,R29,14,S28,Optimize fuel usage,3929,14,0,0.12,HFO,None,80,16632,14551,43,22,5
36,Hamburg,Antwerp,01-03-2025,26-02-2025,Air,On-time,8729,12630,522,43,176,KLM Exporters,Automotive,North America,25,292943,20,94,4.7,R6,10,S11,Optimize fuel usage,6677,6,1,0.12,LNG,Solar Investment,80,16056,11774,38,22,4.2
37,Busan,Singapore,02-01-2025,08-02-2025,Sea,Delayed,9283,13161,458,45,158,HIJ Shipping,Automotive,North America,10,348188,24,85,4.4,R49,16,S11,Reduce average delay,6324,8,0,0.18,MDO,Tree Plantation,87,16496,9411,48,16,4.2
38,Mumbai,Busan,01-03-2025,15-02-2025,Land,Delayed,10118,14321,495,44,149,XYZ Traders,Automotive,Europe,25,236744,24,91,4.3,R23,16,S21,Cost reduction per shipment,3404,8,0,0.16,LNG,Wind Energy,79,11892,13815,35,20,4.7
39,Rotterdam,Hamburg,05-01-2025,25-02-2025,Sea,Delayed,14621,10669,589,41,168,ABC Logistics,Textiles,Asia,21,324697,24,92,5,R28,19,S21,Improve on-time performance,3491,11,1,0.05,MDO,Solar Investment,85,17432,12392,32,19,4.9
40,Singapore,Antwerp,13-02-2025,21-02-2025,Sea,On-time,12552,15859,502,38,169,Global Importers,Retail,North America,28,316072,18,91,4.8,R14,15,S7,Increase container utilization,3356,9,0,0.09,MDO,None,77,11971,8322,47,16,4.4
41,Busan,Busan,27-01-2025,04-03-2025,Land,Delayed,14332,15012,523,37,129,KLM Exporters,Textiles,Europe,17,333196,15,91,4.3,R14,13,S17,Cost reduction per shipment,6499,12,0,0.18,MDO,Wind Energy,75,11102,13973,45,19,4.9
42,Rotterdam,Los Angeles,01-02-2025,03-03-2025,Land,On-time,12386,16269,485,47,194,OPQ Enterprises,Manufacturing,North America,21,207176,15,93,4.8,R20,17,S48,Improve on-time performance,3214,11,2,0.05,LNG,Wind Energy,88,17947,9511,32,18,4.3
43,Antwerp,Singapore,21-01-2025,28-01-2025,Land,Delayed,11836,17099,545,47,116,XYZ Traders,Manufacturing,Europe,24,291310,24,97,4.8,R13,11,S14,Reduce average delay,4403,14,1,0.13,LNG,Wind Energy,82,12107,10086,31,23,4.2
44,Busan,Busan,08-01-2025,22-02-2025,Land,On-time,8919,17376,511,42,174,HIJ Shipping,Manufacturing,Europe,11,349748,19,88,4.3,R27,11,S33,Improve on-time performance,6841,13,1,0.16,MDO,Solar Investment,84,17051,12600,31,15,4.3
45,Antwerp,Antwerp,07-02-2025,27-01-2025,Sea,On-time,12050,13168,573,47,119,Global Importers,Manufacturing,Middle East,26,245177,17,98,4.4,R35,11,S11,Optimize fuel usage,6930,12,0,0.14,LNG,Wind Energy,82,16145,14896,39,20,4.6
46,Hamburg,Dubai,08-01-2025,22-01-2025,Sea,On-time,10339,12121,559,44,147,LMN Supply,Manufacturing,Middle East,16,310623,19,91,4.2,R45,12,S13,Increase container utilization,3751,13,1,0.16,HFO,Tree Plantation,70,14246,13656,44,21,4.4
47,Rotterdam,Rotterdam,19-02-2025,16-01-2025,Air,Delayed,14065,17794,426,33,172,ABC Logistics,Pharmaceuticals,Asia,22,200997,19,93,4.1,R2,15,S1,Increase container utilization,3826,5,2,0.16,HFO,None,71,16854,13461,32,20,4.7
48,Singapore,Mumbai,03-01-2025,20-01-2025,Sea,On-time,8755,15310,417,46,101,Global Importers,Automotive,Middle East,10,320179,15,99,4.7,R41,10,S34,Optimize fuel usage,4237,14,2,0.15,HFO,Solar Investment,82,14712,10287,37,19,4.2
49,Mumbai,Rotterdam,23-02-2025,09-02-2025,Land,Delayed,13754,14078,566,34,136,Global Importers,Textiles,Europe,15,320403,22,89,4.3,R45,11,S9,Cost reduction per shipment,4121,7,1,0.17,HFO,Solar Investment,71,16541,8686,47,18,4.7
50,New York,Rotterdam,13-02-2025,07-02-2025,Air,On-time,13930,15801,576,45,100,OPQ Enterprises,Pharmaceuticals,North America,22,342303,19,86,4.8,R40,19,S13,Optimize fuel usage,5575,9,1,0.15,LNG,Wind Energy,80,16773,10017,40,19,4.3
51,Los Angeles,Shanghai,27-02-2025,21-01-2025,Land,On-time,13402,15938,481,38,103,Global Importers,Textiles,North America,20,295287,19,99,5,R48,11,S37,Increase container utilization,5963,13,2,0.11,MDO,None,82,14417,9468,36,23,4.5
52,Shanghai,Los Angeles,03-01-2025,08-02-2025,Sea,On-time,13663,16079,571,39,199,OPQ Enterprises,Retail,Asia,19,319574,23,89,4.1,R24,10,S30,Reduce average delay,3665,12,1,0.12,LNG,Wind Energy,79,17445,11923,48,19,4.6
53,Singapore,Dubai,22-01-2025,14-02-2025,Air,On-time,9869,17883,471,47,153,ABC Logistics,Electronics,Middle East,25,321509,22,88,4.5,R29,12,S41,Cost reduction per shipment,6599,14,0,0.16,HFO,Wind Energy,84,16417,12835,36,24,4.7
54,Rotterdam,New York,06-01-2025,02-02-2025,Land,Delayed,12472,14151,453,46,124,ABC Logistics,Automotive,Asia,29,285447,15,92,4.8,R3,19,S45,Improve on-time performance,5757,11,1,0.18,LNG,Solar Investment,70,16174,8996,31,22,4.2
55,New York,Busan,02-01-2025,21-02-2025,Air,On-time,13275,10719,561,47,102,LMN Supply,Retail,Europe,26,309522,17,99,4.8,R45,16,S37,Reduce average delay,5028,6,0,0.09,LNG,Tree Plantation,83,15151,10534,35,21,4.8
56,Singapore,Mumbai,23-01-2025,13-02-2025,Air,On-time,8507,12600,470,36,108,OPQ Enterprises,Pharmaceuticals,Middle East,26,281144,21,89,4.8,R4,10,S47,Cost reduction per shipment,6691,10,2,0.1,HFO,None,79,16110,10812,34,18,4.7
57,Rotterdam,Singapore,13-02-2025,25-01-2025,Sea,Delayed,9436,16175,563,33,185,OPQ Enterprises,Electronics,Asia,13,292693,15,93,4.3,R2,16,S7,Increase container utilization,5582,8,1,0.19,MDO,None,87,17517,13530,43,24,4.2
58,Dubai,Dubai,02-01-2025,06-01-2025,Land,On-time,10575,13598,545,34,186,XYZ Traders,Retail,North America,14,294315,15,93,4.5,R20,14,S14,Increase container utilization,3553,9,2,0.14,LNG,None,80,14659,14011,47,19,5
59,Dubai,Hamburg,07-02-2025,09-03-2025,Air,On-time,11426,14669,437,45,175,XYZ Traders,Textiles,North America,23,227387,19,87,4.6,R15,18,S48,Reduce average delay,4572,9,1,0.08,LNG,None,76,15926,8622,33,21,4.7
60,Antwerp,New York,17-01-2025,09-01-2025,Air,On-time,8558,10666,586,32,173,LMN Supply,Electronics,Asia,29,204090,23,97,5,R49,11,S6,Cost reduction per shipment,3327,8,0,0.15,HFO,Tree Plantation,84,11919,11824,33,20,4.5
61,Singapore,Shanghai,04-02-2025,04-03-2025,Land,On-time,11102,10283,536,47,133,ABC Logistics,Textiles,Asia,19,320846,20,94,4.3,R32,10,S34,Improve on-time performance,5949,8,1,0.2,MDO,Solar Investment,72,15552,10783,42,17,4.2
62,Dubai,Shanghai,03-02-2025,30-01-2025,Air,Delayed,14403,15840,599,43,142,DEF Cargo,Retail,Asia,23,240239,24,99,4.9,R42,18,S16,Improve on-time performance,4188,8,2,0.17,HFO,Tree Plantation,71,15227,12393,30,24,4.5
63,Rotterdam,Dubai,23-01-2025,21-02-2025,Air,Delayed,12516,13903,578,44,173,XYZ Traders,Pharmaceuticals,Europe,10,203743,16,90,4.3,R1,17,S37,Optimize fuel usage,6187,6,0,0.16,HFO,Wind Energy,77,15588,9075,49,17,4.2
64,Antwerp,Antwerp,30-01-2025,12-02-2025,Air,On-time,13648,13565,434,46,193,Global Importers,Textiles,Europe,20,230924,23,90,5,R38,19,S36,Reduce average delay,3149,5,1,0.08,LNG,Solar Investment,77,16673,14876,34,16,4.4
65,Rotterdam,Rotterdam,21-02-2025,20-01-2025,Land,Delayed,11622,12234,481,30,121,ABC Logistics,Electronics,North America,27,341268,20,88,4.7,R35,15,S46,Cost reduction per shipment,6589,6,2,0.18,MDO,Tree Plantation,80,16983,8303,32,17,4.4
66,Antwerp,Hamburg,08-01-2025,09-03-2025,Land,Delayed,12399,14593,532,46,169,DEF Cargo,Retail,Europe,25,330160,19,95,4.5,R7,14,S6,Reduce average delay,4055,11,2,0.13,HFO,None,85,13157,13407,48,24,4.7
67,Singapore,Shanghai,22-01-2025,26-01-2025,Land,On-time,13037,11465,541,40,101,KLM Exporters,Textiles,Europe,27,291815,19,97,4.6,R45,17,S8,Improve on-time performance,3656,5,1,0.18,LNG,None,71,11581,8663,42,15,4.2
68,New York,Mumbai,13-02-2025,03-03-2025,Land,Delayed,12057,10129,557,46,193,Global Importers,Pharmaceuticals,Middle East,17,305312,17,94,4.3,R13,17,S24,Cost reduction per shipment,5853,10,2,0.1,HFO,Solar Investment,74,11795,10946,36,23,4.8
69,Mumbai,Shanghai,27-02-2025,27-02-2025,Sea,On-time,11715,14734,403,43,165,HIJ Shipping,Automotive,Europe,19,268860,20,87,4.3,R49,14,S3,Increase container utilization,4936,8,0,0.06,LNG,Tree Plantation,76,14197,13237,39,16,4.3
70,Busan,Singapore,05-02-2025,20-02-2025,Air,Delayed,14685,17459,566,49,131,OPQ Enterprises,Pharmaceuticals,Middle East,19,280399,18,85,4.1,R1,16,S4,Increase container utilization,3292,6,1,0.12,MDO,Solar Investment,89,12883,11994,32,17,4.4
71,New York,Busan,05-01-2025,19-01-2025,Land,Delayed,9301,16257,591,48,115,ABC Logistics,Pharmaceuticals,Europe,14,248795,24,96,4.1,R14,10,S32,Cost reduction per shipment,5966,7,0,0.09,HFO,None,82,14367,9992,31,19,4.8
72,Hamburg,Shanghai,13-01-2025,22-01-2025,Air,Delayed,13185,17366,552,36,175,HIJ Shipping,Automotive,North America,19,251553,16,91,4.3,R29,13,S1,Reduce average delay,5736,11,2,0.16,MDO,Tree Plantation,71,16298,11495,36,24,4.6
73,Rotterdam,Singapore,29-01-2025,13-02-2025,Air,On-time,10155,12060,555,42,100,LMN Supply,Pharmaceuticals,Asia,27,303976,17,99,4.8,R3,11,S34,Reduce average delay,3956,10,2,0.19,MDO,None,72,17044,14934,38,18,4.3
74,Hamburg,Dubai,31-01-2025,14-01-2025,Sea,Delayed,14411,17438,593,47,171,OPQ Enterprises,Automotive,North America,15,313566,23,99,4.6,R46,19,S45,Increase container utilization,6248,10,2,0.15,LNG,Solar Investment,78,11809,10694,41,19,4.4
75,New York,Dubai,16-02-2025,11-01-2025,Land,On-time,14365,13672,549,43,147,OPQ Enterprises,Automotive,Europe,12,319968,23,89,4.1,R24,12,S9,Increase container utilization,4084,12,0,0.18,HFO,Solar Investment,79,13933,12304,39,20,4.3
76,Antwerp,New York,26-02-2025,28-01-2025,Land,On-time,13923,17382,558,30,149,Global Importers,Textiles,Asia,17,261600,20,98,4.9,R1,10,S12,Improve on-time performance,4612,12,2,0.12,HFO,Solar Investment,82,14268,11198,48,19,4.6
77,Busan,Shanghai,24-02-2025,05-03-2025,Air,Delayed,13649,16587,422,36,112,HIJ Shipping,Textiles,Asia,18,250022,24,94,4.6,R48,11,S10,Cost reduction per shipment,3415,10,1,0.17,LNG,Solar Investment,82,15868,13412,42,24,4.3
78,Busan,Mumbai,16-01-2025,20-02-2025,Land,On-time,8692,17957,447,37,114,OPQ Enterprises,Automotive,Asia,14,334271,24,99,5,R10,10,S10,Reduce average delay,6454,5,1,0.18,LNG,Solar Investment,74,16220,8518,39,15,4.7
79,Shanghai,Shanghai,11-02-2025,12-02-2025,Air,Delayed,12350,17679,547,47,152,XYZ Traders,Retail,Middle East,11,250897,23,91,4.7,R13,17,S44,Improve on-time performance,5645,14,2,0.16,MDO,Wind Energy,76,13984,14220,34,20,4.6
80,Busan,Mumbai,30-01-2025,19-01-2025,Air,On-time,9478,12494,524,38,143,ABC Logistics,Electronics,North America,11,238038,18,85,4.2,R36,13,S48,Reduce average delay,6774,11,1,0.13,HFO,Solar Investment,86,11572,12433,44,23,4.1
81,Mumbai,Los Angeles,26-02-2025,08-03-2025,Sea,On-time,14396,15081,565,30,107,XYZ Traders,Retail,Middle East,16,323323,19,92,4.5,R9,12,S23,Increase container utilization,5054,12,0,0.14,HFO,Solar Investment,84,12206,13909,32,17,4.3
82,Busan,New York,24-02-2025,09-02-2025,Sea,Delayed,8256,10992,454,46,173,Global Importers,Automotive,Asia,26,320278,24,87,4.6,R14,10,S6,Cost reduction per shipment,3917,9,0,0.16,LNG,None,74,15904,9869,37,16,4.2
83,New York,Los Angeles,16-01-2025,24-01-2025,Sea,Delayed,10430,16858,467,48,145,DEF Cargo,Electronics,North America,19,311054,20,91,4,R36,11,S24,Optimize fuel usage,3084,8,2,0.09,LNG,Solar Investment,76,15974,11810,35,20,4.4
84,Shanghai,Shanghai,12-01-2025,04-02-2025,Air,Delayed,8441,12121,487,35,168,KLM Exporters,Textiles,North America,21,207897,23,96,4,R10,12,S24,Cost reduction per shipment,5821,11,1,0.17,LNG,Tree Plantation,71,14080,8912,48,17,4.5
85,New York,New York,17-01-2025,30-01-2025,Land,Delayed,9881,12584,400,32,118,Global Importers,Electronics,Europe,11,264541,19,87,4.1,R40,12,S21,Optimize fuel usage,3956,10,1,0.19,HFO,Solar Investment,87,13460,11934,46,18,4.5
86,New York,Los Angeles,16-01-2025,14-02-2025,Sea,On-time,10646,14196,534,34,137,ABC Logistics,Automotive,Middle East,19,306968,22,98,4.3,R23,15,S42,Improve on-time performance,4421,10,2,0.12,HFO,Wind Energy,79,12741,12902,39,20,4.8
87,Los Angeles,Rotterdam,12-01-2025,19-01-2025,Land,On-time,13209,12223,584,31,110,OPQ Enterprises,Textiles,Middle East,29,214892,15,87,4.4,R35,19,S31,Optimize fuel usage,4935,7,0,0.16,MDO,Solar Investment,70,15005,11188,30,20,4.2
88,Shanghai,Shanghai,08-01-2025,31-01-2025,Sea,On-time,11820,14522,494,49,142,HIJ Shipping,Electronics,Europe,10,339343,19,94,4.5,R7,17,S47,Optimize fuel usage,4794,14,2,0.16,LNG,None,83,15925,9315,42,16,4.9
89,New York,Los Angeles,20-01-2025,27-01-2025,Sea,Delayed,14533,13188,539,33,119,HIJ Shipping,Electronics,Middle East,13,224815,24,93,4.1,R42,15,S41,Improve on-time performance,4416,8,1,0.15,MDO,Tree Plantation,88,13613,13390,39,17,4.3
90,Los Angeles,Rotterdam,03-01-2025,22-02-2025,Air,On-time,12677,13237,505,39,119,LMN Supply,Retail,Asia,22,245612,15,97,4.7,R35,11,S30,Cost reduction per shipment,4070,9,1,0.13,HFO,Tree Plantation,85,12715,11228,41,23,4.3
91,Los Angeles,Rotterdam,16-01-2025,25-02-2025,Sea,Delayed,9735,14136,532,39,120,Global Importers,Electronics,Asia,21,216267,24,86,4.6,R2,11,S34,Improve on-time performance,6412,13,2,0.18,MDO,Solar Investment,88,17247,8571,31,16,4.7
92,Shanghai,Dubai,30-01-2025,08-01-2025,Sea,On-time,11735,14524,507,40,181,ABC Logistics,Automotive,Middle East,20,218268,20,98,4.3,R15,16,S18,Increase container utilization,4521,12,0,0.12,MDO,Solar Investment,75,16245,11255,39,17,4.8
93,Hamburg,Shanghai,14-02-2025,16-02-2025,Air,Delayed,10645,10343,577,45,156,LMN Supply,Manufacturing,Europe,19,314463,21,88,4,R9,10,S12,Increase container utilization,5653,7,0,0.06,MDO,Solar Investment,81,12569,10471,30,23,4.4
94,Antwerp,Rotterdam,23-01-2025,24-01-2025,Land,On-time,8018,17591,441,46,149,OPQ Enterprises,Manufacturing,North America,24,345335,19,90,4.1,R47,10,S35,Optimize fuel usage,4501,10,2,0.18,LNG,Solar Investment,72,11676,13775,30,18,4.7
95,Mumbai,Dubai,28-01-2025,02-02-2025,Sea,On-time,9124,14461,501,45,173,DEF Cargo,Manufacturing,Middle East,14,295347,15,98,4.4,R17,16,S7,Improve on-time performance,5473,14,1,0.15,HFO,None,76,16040,14816,49,15,4.9
96,Antwerp,Los Angeles,20-02-2025,19-02-2025,Air,Delayed,11985,17287,523,36,197,Global Importers,Automotive,North America,26,294542,20,87,4.2,R39,18,S41,Improve on-time performance,5473,5,0,0.18,LNG,None,72,12833,13135,44,16,4.8
97,Busan,Singapore,09-02-2025,09-03-2025,Sea,On-time,10654,14704,539,45,125,DEF Cargo,Manufacturing,Europe,14,266612,24,96,4.4,R18,14,S40,Improve on-time performance,3735,7,2,0.07,MDO,Tree Plantation,86,17413,13021,30,17,4
98,Mumbai,Shanghai,23-02-2025,24-01-2025,Air,Delayed,13476,16800,502,32,129,ABC Logistics,Retail,North America,11,338307,19,94,4.6,R15,10,S25,Cost reduction per shipment,5838,14,1,0.05,LNG,Solar Investment,84,13513,13880,38,23,4.8
99,Busan,New York,05-01-2025,21-02-2025,Land,On-time,13661,14823,545,45,172,DEF Cargo,Automotive,Europe,18,288757,20,98,4.5,R18,14,S6,Reduce average delay,5562,11,0,0.19,HFO,None,88,11800,8097,36,23,4.8
100,New York,Mumbai,20-01-2025,19-01-2025,Land,On-time,10080,12276,593,37,130,DEF Cargo,Textiles,Europe,15,347489,24,94,4.2,R24,10,S1,Reduce average delay,4152,11,0,0.07,HFO,None,88,12141,12033,45,20,4.7
101,Rotterdam,Mumbai,09-02-2025,12-02-2025,Air,Delayed,14089,14920,473,41,141,ABC Logistics,Automotive,Asia,27,298075,21,91,4.3,R23,19,S46,Reduce average delay,6906,6,2,0.17,MDO,Tree Plantation,80,16211,9639,45,20,4.8
